Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7c50feacde896d1501dcf0aab02ab1dc576ea15dda6c9a8be83c9d05494eca7c,2014-06,Northumbria Police,Northumbria Police,-1.612959,54.972619,On or near Nightclub,E01033543,Newcastle upon Tyne 024G,Defendant found not guilty
1931c01b56f887c9c5511beb02bfd02f3e3bd52d15f665340376702173d8e56e,2014-06,Northumbria Police,Northumbria Police,-1.565963,55.178728,On or near BOLSOVER STREET,E01027528,Northumberland 010A,Offender given community sentence
1c2392a07cfacc0e397756a670ff7665ce85b17b7a3a84aaba1a992bd0c742ee,2014-06,Northumbria Police,Northumbria Police,-1.753465,54.992341,On or near Sports/Recreation Area,E01008401,Newcastle upon Tyne 014B,Defendant sent to Crown Court
eeb2ce63fa081ba35e1f158cff19c5dbf851640314c1c61640970aca892db264,2014-06,Northumbria Police,Northumbria Police,-1.571691,55.079408,On or near HASTINGS STREET,E01027394,Northumberland 031A,Offender given community sentence
07f9d03c19f3e447d09add84974074350448fae3315952c2296c62cd93aad769,2014-06,Northumbria Police,Northumbria Police,-1.371270,54.898874,On or near GRAY ROAD,E01008735,Sunderland 016B,Defendant found not guilty
943f8bdecbd358ed891e17b218642e2130c8463722d95231a5afdee122dcb945,2014-06,Northumbria Police,Northumbria Police,-1.619486,54.969629,On or near CLAYTON STREET WEST,E01033545,Newcastle upon Tyne 024H,Offender given community sentence
dbf11b46388a2aa7af3683ad6e4220f74ddda5721872c199c40ba3fd6b514be2,2014-06,Northumbria Police,Northumbria Police,-1.585991,54.976188,On or near Parking Area,E01008304,Newcastle upon Tyne 026C,Defendant found not guilty
67f01b8003ba7527bbb7e738b4b01537cb81d5d459c8e66d17993665500bb291,2014-06,Northumbria Police,Northumbria Police,-1.381547,54.905936,On or near FAWCETT STREET,E01008703,Sunderland 013B,Court case unable to proceed
8842794ed6e4e17d2c8471d1f427fcc9f72d30535220a7fe581a344183672bcd,2014-06,Northumbria Police,Northumbria Police,-1.512453,55.126991,On or near Parking Area,E01027415,Northumberland 023B,Offender sent to prison
e06d3cd0a830652e77e24f28ffe3e8e7e02f507a7a04c64a123c6a7a8a29f292,2014-06,Northumbria Police,Northumbria Police,-1.668084,54.961738,On or near DELTA BANK ROAD,E01008209,Gateshead 007A,Offender given conditional discharge
